country,percent
AGO,0.105045562
QAT,4.863679179
BGD,0.071039423
BGR,5.370923469
PAK,0
PAN,6.554796477
VNM,0.254248276
KOR,44.7
PRK,44.7
BWA,2.902666622
TZA,0.11719444
KNA,5.86281024
GIB,19.13163812
DJI,0.194500528
GIN,0.095424924
FIN,37.24846174
THA,3.689041279
SYC,7.395629183
NPL,0.204651684
MAR,0.693791245
YEM,0.082500387
PHL,1.982253196
ZAF,5.348559732
KIR,1.785225474
MNE,0
VIR,13.81508054
BEN,0.225247851
GUF,9.687341067
BEL,29.43169169
GUM,16.11312704
GBR,26.82175435
GUY,6.611491566
CRI,5.800253023
CMR,0.252120078
LSO,0.21180607
HUN,6.999676351
BLZ,5.963835303
TTO,7.721411474
TCD,0.035707076
GEO,0.484746299
MHL,1.534271796
DOM,3.704692356
BLR,1.860398126
GRD,4.063907991
GRL,31.74781123
AND,10.53883561
MOZ,0.10959253
MKD,2.485566316
VCT,3.245037411
TJK,0.048599595
MEX,5.081384153
LCA,5.090483341
IND,0.52753245
NOR,52
FJI,1.496854734
HND,1.203855999
SMR,48.79949531
PER,3.076430611
VUT,2.108336891
COG,0.005902114
ETH,0.015263767
COM,0.271740607
COL,2.207532993
GGY,31.89792663
MDG,0.196394691
ANT,0
MDV,2.203872939
SRB,0
LTU,6.427067495
RWA,0.06283146
ZMB,0.191071643
POL,7.285428708
JEY,9.218713989
MDA,1.282846417
AUS,46.75611561
AUT,33.73013295
PLW,0
ALB,0.114097347
MMR,0
GNQ,0.132354665
WSM,0.566392533
UKR,0.716183762
GNB,0.230103171
TON,2.434398044
CAN,51.3
ERI,0.136711941
GRC,9.138837308
SOM,0.02
GAB,1.216140618
IRQ,0
IRL,17.85046724
ABW,15.44282295
SYR,0.18169858
NZL,47.37955654
NCL,13.93954882
ARE,23.62530088
ARG,7.038683086
SDN,0.025785032
SSD,0.025785032
BHR,6.153732546
ARM,1.300470022
PNG,0.835249302
LIE,36.51522989
EGY,0.641265038
NAM,1.644739547
SVK,9.426803201
GHA,0.153615298
BOL,1.442763585
FSM,3.734862137
JOR,2.623275422
LBR,0.017702706
LBY,0.187042622
MYS,21.38473116
PRI,10.47464821
CPV,1.822443852
PRT,16.43046769
KHM,0.04702264
PRY,0.747630712
SAU,2.210691809
LBN,7.952743736
SVN,15.11025956
BFA,0.077080169
CHE,47.1
MRT,0.192031462
HRV,6.644882544
CHL,16.6
CHN,1.775913207
JAM,3.115778027
URY,10.53905775
NIC,0.980216487
KAZ,0.668594403
PYF,6.357063545
NGA,0.064080808
PSE,1.111306207
COD,0.005902114
DEU,30.2163466
LKA,0.647410011
MWI,0.126780945
CIV,0.231461671
UGA,0.163714063
TKM,0.133282183
NLD,43.98435137
BMU,42.94986002
ROU,3.613717291
MNG,1.255652004
MAC,13.60858974
AFG,0
BDI,0.077248447
LVA,6.319062083
RUS,1.977230109
HTI,0.231270715
STP,4.638516816
BTN,0.400944447
CZE,9.780527888
ATG,6.482225737
MUS,7.281535115
DMA,8.814844198
LUX,22.88732797
ISR,20.87379
IDN,0.925563864
SUR,2.506411052
ISL,44.47053382
NER,0.036261294
ECU,1.462188536
HKG,27.82776068
SEN,0.403967486
TLS,0
FRA,14.30792394
GMB,0.921794919
FRO,32.91639236
GTM,0.712332905
DNK,39.17243086
ZWE,0.401433535
CUB,0.541182549
KEN,0.318059714
TUR,3.761685035
OMN,3.520421417
TUV,5.241639585
ITA,23.11087424
BRN,8.996284534
TUN,2.750740293
BRB,3.973678355
BRA,2.870685159
USA,43.07916264
SWE,45.68765221
AZE,0.147757576
LAO,0.111044032
SWZ,0.926191777
VEN,3.359597465
CYP,15.25539437
BIH,1.08296075
CAF,0.053394174
SGP,36
IRN,0.93419002
UZB,0.484347308
KWT,6.731395768
TGO,0.8
CYM,0
EST,28.57695381
ESP,13.62496081
SLV,1.177397269
MLI,0.142545755
MLT,13.11370871
SLE,0.118254246
BHS,8
SLB,0.481296806
JPN,29.99074036
KGZ,1.041401145
DZA,0.491705679
NRU,0
