country,percent
AGO,1.907647507
QAT,28.97411271
BGD,1
BGR,27.09
PAK,6.5
PAN,17.34956617
VNM,17.25456172
KOR,78.1
PRK,78.1
BWA,4.289932975
TZA,5.8
KNA,49
GIB,45.29864751
DJI,1.270041159
GIN,0.637492123
FIN,79.66
THA,17.16071472
SYC,34.95197117
NPL,1.141389164
MAR,19.77119157
YEM,1.247824049
PHL,5.740586325
ZAF,7.607139675
KIR,4.5
MNE,28.9
VIR,27.33261054
BEN,1.537854346
GUF,22.06425495
BEL,59.72
GUM,43.851443
GBR,68.82
GUY,0
CRI,25.1
CMR,2.028744791
LSO,2.979708187
HUN,47.06
BLZ,10.40167814
TTO,30.00374858
TCD,0.581045764
GEO,7.526876845
MHL,3.795590214
DOM,14.84492837
BLR,16.2
GRD,21.39599117
GRL,59.36168727
AND,48.936847
MOZ,0.842954488
MKD,28.62
VCT,12
TJK,3.772406207
MEX,19.52
LCA,24.5
IND,2.805499865
NOR,82.55
FJI,9.6000384
HND,7.8
SMR,50.20865936
PER,20.7
VUT,5.850585059
COG,0.29605361
ETH,0.310592657
COM,2.2
COL,15.34167454
GGY,83.63201912
MDG,0.607552239
ANT,0
MDV,11.03635278
SRB,27.2
LTU,43.9
RWA,0
ZMB,4.159913394
POL,44.58
JEY,31.81818182
MDA,19.62064771
AUS,66
AUT,63.6
PLW,0
ALB,9.609991316
MMR,0.182048331
GNQ,1.279193596
WSM,4.469173873
UKR,4.506124564
GNB,2.057196705
TON,5.853944095
CAN,72.4
ERI,2.159383211
GRC,32.25
SOM,1.100216368
GAB,5.489200803
IRQ,0.952344244
IRL,54.82
ABW,28
SYR,7.832551569
NZL,69
NCL,33.51571468
ARE,52
ARG,20.9272021
SDN,8.092033734
SSD,8.092033734
BHR,28.24395243
ARM,5.631787777
PNG,1.754487261
LIE,64.21416136
EGY,12.55279997
NAM,4.398870647
SVK,56.08
GHA,2.723175973
BOL,6.200671255
FSM,12.75033925
JOR,13.86710879
LBR,0
LBY,4.301051789
MYS,51.63798899
PRI,25.44241821
CPV,6.808911008
PRT,38.01
KHM,0.46835672
PRY,7.962073884
SAU,19.45955435
LBN,15
SVN,54.01
BFA,0.632707564
CHE,75.7
MRT,0.979661253
HRV,37.98
CHL,34.49775117
CHN,10.52315262
JAM,16.4
URY,29.4
NIC,2.805573063
KAZ,3.268369051
PYF,25.10796425
NGA,5.545036083
PSE,18.41
COD,0.29605361
DEU,72.16
LKA,2.537566129
MWI,0.42513749
CIV,1.524900791
UGA,2.529363038
TKM,1.319573118
NLD,83.7
BMU,69.89965516
ROU,24.66
MNG,0
MAC,46.4
AFG,2.107123645
BDI,0.65759259
LVA,53.63
RUS,18.02327746
HTI,6.796000481
STP,14.18201978
BTN,4.518317258
CZE,47.93
ATG,62.63886919
MUS,16.7
DMA,39.3981743
LUX,72.51
ISR,27.88107446
IDN,4.764813134
SUR,9.499626942
ISL,89.51
NER,0.294033977
ECU,7.2
HKG,60.8
SEN,5.611738652
TLS,0.116628277
FRA,46.87
GMB,5.237691158
FRO,69.35944512
GTM,6.5
DNK,86.65
ZWE,9.791841502
CUB,11.15960131
KEN,7.53378972
TUR,18.24
OMN,8.299716673
TUV,0
ITA,37.99
BRN,42.18634916
TUN,12.98640865
BRB,63
BRA,28.17838018
USA,68.93119327
SWE,87.76
AZE,11.99217733
LAO,1.169893428
SWZ,3.696538789
VEN,15.22471148
CYP,35.83
BIH,25.12238569
CAF,0.311159173
SGP,59
IRN,8.76
UZB,6.388321967
KWT,28.79119795
TGO,2
CYM,44.5
EST,63.51
ESP,50.37
SLV,5.5
MLI,0.729627281
MLT,40.41
SLE,0.227669467
BHS,26
SLB,1.646347989
JPN,68.68527032
KGZ,12.306907
DZA,7.375984956
NRU,0
