country,percent
AGO,0.370682065
QAT,19.24233642
BGD,0.163877665
BGR,12.04
PAK,5.041158126
PAN,9.987424077
VNM,3.780280814
KOR,65.5
PRK,65.5
BWA,3.345190174
TZA,0.676962857
KNA,22.96978429
GIB,28.32577979
DJI,0.625940229
GIN,0.450960371
FIN,69.22
THA,9.299027238
SYC,14.59250432
NPL,0.382810917
MAR,3.353366681
YEM,0.6047341
PHL,4.857672267
ZAF,7.007691726
KIR,3
MNE,0
VIR,27.42907299
BEN,0.951327115
GUF,16.55098772
BEL,49.97
GUM,33.71668179
GBR,64.82
GUY,0
CRI,20.33361481
CMR,0.587622611
LSO,1.53249659
HUN,21.63
BLZ,0
TTO,25.97176411
TCD,0.320308555
GEO,2.558816481
MHL,2.569750367
DOM,7.898392937
BLR,0
GRD,18.64518218
GRL,54.53425983
AND,13.54641288
MOZ,0.419538844
MKD,19.07
VCT,6.462274167
TJK,0.064583777
MEX,12.9
LCA,20.98247346
IND,1.686489971
NOR,78.13
FJI,6.725434738
HND,4.8
SMR,50.00345304
PER,11.6
VUT,3.903295845
COG,0.134914837
ETH,0.105811659
COM,0.84818937
COL,7.388923711
GGY,59.13978495
MDG,0.423252419
ANT,0
MDV,5.97659285
SRB,0
LTU,25.91
RWA,0.356918467
ZMB,0.980483039
POL,24.87
JEY,22.72727273
MDA,7.407544584
AUS,0
AUT,42.7
PLW,21.60152718
ALB,0.971900415
MMR,0.024064149
GNQ,0.520524272
WSM,2.799630449
UKR,3.148127588
GNB,1.354197478
TON,2.985817368
CAN,64.2
ERI,0.725623232
GRC,17.8
SOM,0.376198003
GAB,2.659586594
IRQ,0.6
IRL,34.31
ABW,20.8
SYR,3.397972614
NZL,60.96253987
NCL,26.40833447
ARE,29.47795341
ARG,11.91369655
SDN,0.538471703
SSD,0.538471703
BHR,21.55494499
ARM,4.575217225
PNG,1.374404668
LIE,58.80969184
EGY,4.037885107
NAM,3.359839886
SVK,43.04
GHA,1.193057911
BOL,3.508596401
FSM,9.2325021
JOR,8.466005016
LBR,0.031868935
LBY,2.814517987
MYS,34.97115234
PRI,19.70702566
CPV,4.324885391
PRT,29.67
KHM,0.260570198
PRY,2.111942082
SAU,8.001582891
LBN,8
SVN,31.85479301
BFA,0.373440303
CHE,65.1
MRT,0.424004896
HRV,22.75
CHL,25.47377889
CHN,6.2
JAM,7.8
URY,15.93713672
NIC,1.880412532
KAZ,2.000414753
PYF,14.12429379
NGA,0.558576245
PSE,4.130616356
COD,0.134914837
DEU,55.9
LKA,1.458580228
MWI,0.278815116
CIV,0.758669629
UGA,0.46484984
TKM,0.425182632
NLD,64.35
BMU,56.52201218
ROU,8.9
MNG,0
MAC,25.74212398
AFG,0.087891253
BDI,0.201273197
LVA,26.98
RUS,8.298860616
HTI,1.647358346
STP,10.16184431
BTN,2.436912399
CZE,34.3
ATG,17.22864878
MUS,12.1871062
DMA,23.62041985
LUX,54.55
ISR,19.59339366
IDN,2.38701978
SUR,4.719875395
ISL,83.14
NER,0.155698704
ECU,4.460228345
HKG,52.20004335
SEN,2.10143643
TLS,0
FRA,36.14
GMB,2.436781193
FRO,58.91264097
GTM,4.548854908
DNK,76.26
ZWE,6.394786458
CUB,5.241269054
KEN,2.941902861
TUR,12.33
OMN,7.255742945
TUV,0
ITA,29.04
BRN,19.59500322
TUN,6.490845795
BRB,39.68962712
BRA,13.2075861
USA,61.69711712
SWE,79.13
AZE,0
LAO,0.333912466
SWZ,2.437073851
VEN,7.499963465
CYP,30.09
BIH,3.965036834
CAF,0.151563338
SGP,53.83794329
IRN,6.933721953
UZB,1.912595178
KWT,22.40293838
TGO,1.2
CYM,0
EST,45.32
ESP,39.93
SLV,2.5
MLI,0.310364443
MLT,31.64
SLE,0.190173282
BHS,20
SLB,0.555609882
JPN,48.43526589
KGZ,3.908766268
DZA,2.195359731
NRU,0
