country,percent
AGO,6
QAT,53.1
BGD,3.1
BGR,45
PAK,7.5
PAN,39.08
VNM,26.55
KOR,81.6
PRK,81.6
BWA,6.15
TZA,10
KNA,69
GIB,65.07
DJI,4
GIN,0.94
FIN,82.49
THA,20.1
SYC,0
NPL,1.97
MAR,41.3
YEM,9.96
PHL,9
ZAF,10
KIR,8.97
MNE,35.1
VIR,27.39650968
BEN,2.24
GUF,25.70340925
BEL,70
GUM,50.64202838
GBR,78
GUY,23.9
CRI,34.33
CMR,3.84
LSO,3.72
HUN,48
BLZ,11.73
TTO,44.3
TCD,1.5
GEO,20.07
MHL,3.546042133
DOM,27.72
BLR,27.43
GRD,24.05
GRL,62.83
AND,78.53
MOZ,2.68
MKD,51.77
VCT,31
TJK,10.07
MEX,26.34
LCA,36
IND,5.12
NOR,92.08
FJI,17
HND,9.8
SMR,54.21
PER,31.4
VUT,7.5
COG,0.56
ETH,0.54
COM,3.5
COL,30
GGY,0
MDG,1.63
ANT,0
MDV,24.8
SRB,38.1
LTU,59.76
RWA,7.7
ZMB,6.31
POL,58.97
JEY,0
MDA,27.5
AUS,74.25
AUT,73.45
PLW,0
ALB,41.2
MMR,0.22
GNQ,2.13
WSM,6
UKR,17.9
GNB,2.303280592
TON,10
CAN,80.3
ERI,4.93
GRC,42.4
SOM,1.160610542
GAB,6.7
IRQ,1.06
IRL,67.38
ABW,37.7
SYR,17.3
NZL,79.7
NCL,33.99
ARE,64
ARG,34
SDN,0
SSD,0
BHR,53
ARM,15.3
PNG,1.61
LIE,75
EGY,24.28
NAM,6.5
SVK,70
GHA,5.44
BOL,16.8
FSM,15.35
JOR,26
LBR,0.51
LBY,10.8
MYS,55.9
PRI,41.5
CPV,25
PRT,46.5
KHM,0.53
PRY,18.9
SAU,38
LBN,30.14
SVN,64
BFA,1.13
CHE,81.3
MRT,2.28
HRV,56.27
CHL,38.8
CHN,28.9
JAM,24.3
URY,41.8
NIC,7.3
KAZ,18.2
PYF,44.6
NGA,20
PSE,32.23
COD,0.56
DEU,79
LKA,8.78
MWI,1.07
CIV,2
UGA,9.78
TKM,1.95
NLD,89.63
BMU,83.25
ROU,36.6
MNG,12.6
MAC,54
AFG,3.55
BDI,0.9
LVA,66.84
RUS,29
HTI,8.1
STP,16.41
BTN,7.17
CZE,64.43
ATG,74.2
MUS,22.51
DMA,42.02
LUX,87.31
ISR,63.12
IDN,6.92
SUR,31.36
ISL,93
NER,0.76
ECU,24.6
HKG,69.4
SEN,14.5
TLS,0.18525151
FRA,71.58
GMB,7.63
FRO,75.18
GTM,9.3
DNK,86.84
ZWE,11.36
CUB,14.33
KEN,10.04
TUR,36.4
OMN,51.5
TUV,20
ITA,48.83
BRN,49
TUN,34.07
BRB,68.7
BRA,39.22
USA,71
SWE,91
AZE,27.4
LAO,6
SWZ,8.94
VEN,32.7
CYP,49.81
BIH,37.74
CAF,1.8
SGP,69
IRN,11.07
UZB,17.05821621
KWT,50.8
TGO,2.6
CYM,64.5
EST,72.5
ESP,62.4
SLV,12.11
MLI,1.8
MLT,58.86
SLE,0.26
BHS,33.88
SLB,4
JPN,78
KGZ,17
DZA,11.23
NRU,0
