country,percent
AGO,3.2
QAT,37
BGD,1.8
BGR,33.64
PAK,6.8
PAN,22.29
VNM,20.75544477
KOR,78.8
PRK,78.8
BWA,5.28
TZA,7.2
KNA,52
GIB,51.61
DJI,1.62
GIN,0.780025279
FIN,80.78
THA,20.03
SYC,38.38
NPL,1.41
MAR,21.5
YEM,5.01
PHL,5.97
ZAF,8.065375174
KIR,6
MNE,30.8
VIR,27.33933584
BEN,1.79
GUF,23.31393614
BEL,64.44
GUM,46.15047362
GBR,75.09
GUY,0
CRI,28.4
CMR,2.93
LSO,3.44543126
HUN,53.3
BLZ,10.86
TTO,32.3
TCD,0.847224521
GEO,8.26
MHL,3.71082549
DOM,17.66
BLR,19.7
GRD,22.29
GRL,61.07
AND,70.87
MOZ,0.91
MKD,36.3
VCT,16
TJK,7.197619518
MEX,20.81
LCA,27.9
IND,3.95
NOR,86.93
FJI,10.89783105
HND,9.4
SMR,50.36482211
PER,25.2
VUT,6.8
COG,0.37
ETH,0.37
COM,2.5
COL,21.8
GGY,0
MDG,0.65
ANT,0
MDV,16.3
SRB,33.15
LTU,49.9
RWA,2.115387178
ZMB,4.87
POL,48.6
JEY,32.38636364
MDA,20.45
AUS,69.45
AUT,69.37
PLW,0
ALB,15.03611541
MMR,0.217128445
GNQ,1.557123059
WSM,4.749983235
UKR,6.55
GNB,2.206302237
TON,7.179865329
CAN,73.2
ERI,2.509846441
GRC,35.88
SOM,1.122235622
GAB,5.767004576
IRQ,0.93
IRL,60.55
ABW,30.9
SYR,0
NZL,69.76
NCL,35.05
ARE,61
ARG,25.94663294
SDN,8.66
SSD,8.66
BHR,32.91
ARM,6.021253397
PNG,1.790559361
LIE,65.08021844
EGY,16.05
NAM,4.835610778
SVK,61.8
GHA,3.85
BOL,10.49924432
FSM,13.62113273
JOR,20
LBR,0.551376581
LBY,4.721999379
MYS,55.7
PRI,27.86
CPV,8.28321982
PRT,39.62
KHM,0.49
PRY,11.21
SAU,30
LBN,18.74
SVN,56.74
BFA,0.75
CHE,77.2
MRT,1.433613196
HRV,41.44
CHL,35.9
CHN,16
JAM,21.1
URY,34
NIC,3.9
KAZ,4.02
PYF,28.59
NGA,6.77
PSE,21.176
COD,0.37
DEU,75.16
LKA,3.88
MWI,0.965864737
CIV,1.8
UGA,3.671965351
TKM,1.406360688
NLD,85.82
BMU,74.35059403
ROU,28.3
MNG,0
MAC,47.327
AFG,1.9
BDI,0.7
LVA,59.17
RUS,24.66
HTI,7.2
STP,14.5904832
BTN,5.92
CZE,51.93
ATG,70.06
MUS,20.22
DMA,40.27446301
LUX,78.92
ISR,48.12806219
IDN,5.786274729
SUR,14.11
ISL,90.6
NER,0.39039062
ECU,10.8
HKG,64.8
SEN,7.7
TLS,0.140958764
FRA,66.09
GMB,6.205037419
FRO,75.98
GTM,7.3
DNK,85.03
ZWE,10.85
CUB,11.69
KEN,7.95
TUR,28.63
OMN,16.68
TUV,10
ITA,40.79
BRN,44.68
TUN,17.1
BRB,64.7
BRA,30.88
USA,75
SWE,82.01
AZE,14.54
LAO,1.64
SWZ,4.1
VEN,20.83
CYP,40.77
BIH,27.92
CAF,0.375815961
SGP,68
IRN,9.47
UZB,7.490604681
KWT,34.8
TGO,2.2
CYM,52
EST,66.19
ESP,55.11
SLV,6.11
MLI,0.81
MLT,46.9
SLE,0.239834699
BHS,27
SLB,2
JPN,74.3
KGZ,14.03
DZA,9.451190626
NRU,0
