country,percent
AGO,0.018453724
QAT,3.52002985
BGD,0.003684813
BGR,1.844965121
PAK,0.043947719
PAN,2.750648071
VNM,0.013078543
KOR,6.781815468
PRK,6.781815468
BWA,0.602400929
TZA,0.009244125
KNA,3.343810607
GIB,4.183794329
DJI,0.094696004
GIN,0.006203369
FIN,25.45252493
THA,1.091218985
SYC,2.526177514
NPL,0.064393596
MAR,0.142300767
YEM,0.023323243
PHL,1.103405994
ZAF,2.906220867
KIR,0.616545618
MNE,0
VIR,9.245220221
BEN,0.047877304
GUF,0.978294897
BEL,7.886622701
GUM,4.50128419
GBR,13.6699831
GUY,0.26408811
CRI,2.666378698
CMR,0.013216341
LSO,0.010956533
HUN,3.894643278
BLZ,2.091516391
TTO,2.724825339
TCD,0.004268504
GEO,0.102830957
MHL,0
DOM,0.233914189
BLR,0.073868897
GRD,1.484854484
GRL,14.65444717
AND,6.886209218
MOZ,0.020197055
MKD,1.002861666
VCT,1.853997683
TJK,0
MEX,1.265783278
LCA,1.304988973
IND,0.139027329
NOR,22.56011255
FJI,0.633167865
HND,0.301247214
SMR,1.408557941
PER,1.19038044
VUT,0.274185942
COG,0.000413065
ETH,0.009663517
COM,0.03787097
COL,1.126225245
GGY,7.258064516
MDG,0.062561023
ANT,0
MDV,0.569627464
SRB,0
LTU,1.972063745
RWA,0.011763573
ZMB,0.030226183
POL,4.102272002
JEY,4.653272996
MDA,0.260818206
AUS,30.81323944
AUT,15.42121932
PLW,0
ALB,0.06502737
MMR,0
GNQ,0.094423774
WSM,0.230359015
UKR,0.301075792
GNB,0.024060421
TON,0.765134358
CAN,24.8974003
ERI,0.008774236
GRC,3.221821786
SOM,0.00716442
GAB,0.17012488
IRQ,0
IRL,8.096010043
ABW,0
SYR,0.063687286
NZL,31.63626081
NCL,1.936042825
ARE,6.908302986
ARG,0.83076668
SDN,0.004805071
SSD,0.004805071
BHR,3.218202151
ARM,0.128659478
PNG,0.234958542
LIE,0
EGY,0.147987377
NAM,0.286745093
SVK,2.689809786
GHA,0.032240443
BOL,0.626484062
FSM,1.858718785
JOR,1.305888264
LBR,0.004099387
LBY,0
MYS,6.751770483
PRI,2.647646679
CPV,0.472735008
PRT,9.870446442
KHM,0.016324986
PRY,0.194904951
SAU,0.101429893
LBN,2.722352199
SVN,10.10460285
BFA,0.045423484
CHE,24.8
MRT,0.040594795
HRV,3.273220279
CHL,1.662322022
CHN,0.168540297
JAM,1.978726318
URY,6.987069365
NIC,0.303808975
KAZ,0.131069604
PYF,1.316164696
NGA,0.025231461
PSE,0
COD,0.000413065
DEU,9.877852428
LKA,0.296351104
MWI,0.018057365
CIV,0.060974439
UGA,0.065289465
TKM,0
NLD,22.24382769
BMU,32.10375935
ROU,2.237649473
MNG,0.145810542
MAC,7.003324245
AFG,0
BDI,0.015842776
LVA,3.315267886
RUS,0.812744451
HTI,0.023999477
STP,0.295847047
BTN,0
CZE,3.895906065
ATG,4.0717165
MUS,2.565279962
DMA,2.925345191
LUX,11.74555372
ISR,10.30706995
IDN,0.255306646
SUR,1.670148436
ISL,36.2642065
NER,0.002911503
ECU,0.125272771
HKG,14.54597958
SEN,0.079871379
TLS,0
FRA,6.319778722
GMB,0.206094461
FRO,11.33786848
GTM,0.466590444
DNK,22.66874615
ZWE,0.081648476
CUB,0.226699199
KEN,0.050261388
TUR,0.698805129
OMN,0.862725306
TUV,0
ITA,4.558519565
BRN,6.284742844
TUN,0.107940957
BRB,1.970249237
BRA,1.477874959
USA,30.09319659
SWE,33.46751233
AZE,0.037485109
LAO,0.009657814
SWZ,0.096099605
VEN,1.383990391
CYP,8.890539159
BIH,0.14367106
CAF,0.027878201
SGP,19.59076716
IRN,0.099815221
UZB,0.020754437
KWT,3.052397455
TGO,0.305583935
CYM,0
EST,10.79603483
ESP,4.361892394
SLV,0.425253672
MLI,0.019793888
MLT,6.500783995
SLE,0.014805065
BHS,2.33559071
SLB,0.508292797
JPN,13.41404088
KGZ,0.072808334
DZA,0.020238555
NRU,0
