country,percent
AGO,0.464814618
QAT,20.70164785
BGD,0.199036334
BGR,18.13
PAK,6.164320985
PAN,11.14086254
VNM,7.642408528
KOR,72.7
PRK,72.7
BWA,3.304889253
TZA,0.877574971
KNA,24.73767754
GIB,32.88608261
DJI,0.781317175
GIN,0.508819332
FIN,72.39
THA,10.67730332
SYC,24.27213922
NPL,0.449843651
MAR,11.60793477
YEM,0.881222989
PHL,5.243628452
ZAF,8.425118683
KIR,3.5
MNE,25.3500686
VIR,27.37700879
BEN,1.182540965
GUF,19.49837856
BEL,53.86
GUM,36.16178784
GBR,65.61
GUY,0
CRI,20.79230671
CMR,0.976075415
LSO,2.175524339
HUN,27.74
BLZ,5.793616883
TTO,27.02427008
TCD,0.360920107
GEO,3.886221354
MHL,3.599776814
DOM,8.865553461
BLR,0
GRD,19.57062058
GRL,56.09901476
AND,26.83795439
MOZ,0.679447835
MKD,24.44
VCT,7.371165842
TJK,0.077479907
MEX,14.1
LCA,21.39521236
IND,1.976136492
NOR,77.69
FJI,7.412943485
HND,5.6
SMR,50.56634304
PER,14.1
VUT,4.746602619
COG,0.196208375
ETH,0.155334521
COM,1.327327178
COL,9.118690303
GGY,64.51612903
MDG,0.525353655
ANT,0
MDV,6.588254875
SRB,23.5
LTU,31.23
RWA,0.430854243
ZMB,2.013549532
POL,32.53
JEY,30.68181818
MDA,10.62939084
AUS,0
AUT,54.28
PLW,26.97033263
ALB,2.420387798
MMR,0.024337392
GNQ,0.843930285
WSM,3.07552941
UKR,3.489477881
GNB,1.808142203
TON,3.952373895
CAN,65.95596346
ERI,1.161025669
GRC,21.42
SOM,1.053454744
GAB,2.9790698
IRQ,0.9
IRL,36.99
ABW,23
SYR,4.321593778
NZL,61.84762781
NCL,30.29804621
ARE,30.13129617
ARG,16.03668411
SDN,0.791561615
SSD,0.791561615
BHR,21.45868051
ARM,4.899008571
PNG,1.507912772
LIE,64.00744814
EGY,5.150666232
NAM,3.804715615
SVK,52.89
GHA,1.716797704
BOL,4.439924601
FSM,11.01786731
JOR,11.65874137
LBR,0.031011185
LBY,3.532838162
MYS,42.25226563
PRI,22.13073823
CPV,5.31883207
PRT,31.78
KHM,0.300436644
PRY,3.452438431
SAU,10.234533
LBN,9
SVN,40.81
BFA,0.400295285
CHE,67.8
MRT,0.481470438
HRV,30.91
CHL,28.17791012
CHN,7.3
JAM,10
URY,17.06309834
NIC,2.320664609
KAZ,2.650394657
PYF,17.88453743
NGA,1.286137641
PSE,4.400904826
COD,0.196208375
DEU,64.73
LKA,1.44615998
MWI,0.347505335
CIV,0.849282415
UGA,0.71997068
TKM,0.754053983
NLD,68.52
BMU,60.99086701
ROU,15
MNG,0
MAC,31.48409738
AFG,0.10580903
BDI,0.349060462
LVA,38.58
RUS,12.8593889
HTI,5.401261908
STP,13.32285269
BTN,3.156984196
CZE,35.5
ATG,24.26654372
MUS,13.68908859
DMA,30.31961309
LUX,65.88
ISR,22.77048553
IDN,2.600285876
SUR,6.076047814
ISL,83.88
NER,0.189933734
ECU,4.834442638
HKG,56.39988039
SEN,4.38602398
TLS,0
FRA,39.15
GMB,3.308003478
FRO,66.53359947
GTM,5.1
DNK,80.93
ZWE,6.564045027
CUB,8.407984759
KEN,3.023528042
TUR,14.58
OMN,6.75885217
TUV,0
ITA,33.24
BRN,29.71560414
TUN,8.528817752
BRB,49.8
BRA,19.07367227
USA,64.75825648
SWE,83.89
AZE,0
LAO,0.36143449
SWZ,3.228685073
VEN,8.404469592
CYP,33.83
BIH,15.46897162
CAF,0.223401395
SGP,62
IRN,7.49
UZB,2.593725421
KWT,22.92711204
TGO,1.5
CYM,0
EST,53.2
ESP,44.01
SLV,3.2
MLI,0.43281964
MLT,34.62
SLE,0.203007681
BHS,22
SLB,0.649672673
JPN,62.39392963
KGZ,5.090385307
DZA,4.634475088
NRU,0
