country,percent
AGO,0
QAT,0.190209535
BGD,0
BGR,0.119665549
PAK,0.000122702
PAN,0.056123043
VNM,0
KOR,0.81968667
PRK,0.81968667
BWA,0.064521041
TZA,0
KNA,0
GIB,0
DJI,0.01603083
GIN,0.000668589
FIN,13.90030389
THA,0.074825338
SYC,0
NPL,0.000924878
MAR,0.003710492
YEM,0
PHL,0.028585702
ZAF,0.676740104
KIR,0
MNE,0
VIR,2.801957634
BEN,0
GUF,0
BEL,0.99166299
GUM,0.659530909
GBR,1.895168284
GUY,0
CRI,0.416829206
CMR,0
LSO,0
HUN,0.677486054
BLZ,0.04539718
TTO,0.158149899
TCD,0
GEO,0.011836885
MHL,0
DOM,0.017233601
BLR,0.002921254
GRD,0
GRL,0.053940342
AND,0
MOZ,0
MKD,0.04074384
VCT,0.128634622
TJK,0
MEX,0.10256419
LCA,0.305656686
IND,0.026228879
NOR,6.423220493
FJI,0.009115343
HND,0.036775252
SMR,1.362132711
PER,0.033412305
VUT,0
COG,0
ETH,1.75E-05
COM,0
COL,0.18804679
GGY,0
MDG,0
ANT,0
MDV,0
SRB,0
LTU,0
RWA,0
ZMB,0.008783623
POL,0.647752333
JEY,0
MDA,0.003457217
AUS,2.759654513
AUT,1.890210524
PLW,0
ALB,0.011168695
MMR,0
GNQ,0
WSM,0
UKR,0.043083985
GNB,0
TON,0.12323112
CAN,4.163525253
ERI,0
GRC,0.749616477
SOM,0
GAB,0
IRQ,0
IRL,1.108386328
ABW,0
SYR,0
NZL,4.88424078
NCL,0.005179013
ARE,0.102939175
ARG,0.086277081
SDN,0
SSD,0
BHR,0.346205844
ARM,0.052743123
PNG,0
LIE,0
EGY,0.031319638
NAM,0.006172051
SVK,0.523210163
GHA,0.000347918
BOL,0.066807568
FSM,0
JOR,0.02323392
LBR,0
LBY,0
MYS,0.145673837
PRI,0.135102783
CPV,0
PRT,1.494334529
KHM,0
PRY,0
SAU,0.010956134
LBN,0.071617991
SVN,2.898985609
BFA,0
CHE,3.552007211
MRT,0
HRV,0.51402859
CHL,0.346980781
CHN,0.00495471
JAM,0.109487986
URY,0.310128582
NIC,0.030046478
KAZ,0.011302355
PYF,0
NGA,0
PSE,0
COD,0
DEU,1.837737754
LKA,0.005484436
MWI,0
CIV,0.000200256
UGA,0.002863471
TKM,0
NLD,6.47315766
BMU,6.838163465
ROU,0.074952756
MNG,0.008811225
MAC,0.280014086
AFG,0
BDI,0
LVA,0
RUS,0.148151042
HTI,0
STP,0
BTN,0
CZE,1.45357584
ATG,2.200768802
MUS,0
DMA,0.548762737
LUX,1.590941911
ISR,0.93042297
IDN,0.026109477
SUR,0.114720735
ISL,11.2158757
NER,0
ECU,0.043833641
HKG,3.218635643
SEN,0.000692848
TLS,0
FRA,1.637947245
GMB,0.009217541
FRO,0
GTM,0.002998005
DNK,3.82565642
ZWE,0.00768354
CUB,9.17E-05
KEN,0.000727482
TUR,0.081691205
OMN,0
TUV,0
ITA,0.524412787
BRN,1.017080166
TUN,0.011191954
BRB,0.007752238
BRA,0.105138168
USA,9.237088297
SWE,5.098024244
AZE,0.002055556
LAO,0
SWZ,0.00103175
VEN,0.122214848
CYP,0.410120685
BIH,0
CAF,0
SGP,2.873418722
IRN,0.004179752
UZB,0.001527093
KWT,0.202898433
TGO,0
CYM,3.948967193
EST,2.778968489
ESP,0.380800728
SLV,0
MLI,0
MLT,0.224995699
SLE,0
BHS,0.960030721
SLB,0.02487191
JPN,1.594363148
KGZ,0
DZA,0.001768954
NRU,0
