country,percent
AGO,0.000775929
QAT,0.930185833
BGD,0
BGR,0.725251167
PAK,0.00299173
PAN,0.219998526
VNM,0.000134813
KOR,1.624237192
PRK,1.624237192
BWA,0.15745423
TZA,0.001622155
KNA,1.945569823
GIB,0
DJI,0.031166241
GIN,0.001948942
FIN,16.78007526
THA,0.115472136
SYC,0.651474286
NPL,0.004510473
MAR,0.005675444
YEM,0.000621081
PHL,0.055946029
ZAF,0.841882931
KIR,0
MNE,0
VIR,4.647185664
BEN,0.0016931
GUF,0.34875286
BEL,2.968411647
GUM,1.356106888
GBR,4.123650336
GUY,0.065854115
CRI,0.84105704
CMR,0
LSO,0.00284594
HUN,0.969239536
BLZ,0.882807327
TTO,0.393080525
TCD,0
GEO,0.040065419
MHL,0.037059432
DOM,0.074987053
BLR,0.029298294
GRD,0.298032982
GRL,1.796719191
AND,1.526601023
MOZ,0.003042979
MKD,0.075995734
VCT,0.483248317
TJK,0
MEX,0.20040628
LCA,0.670465974
IND,0.046333977
NOR,18.25031077
FJI,0.064437142
HND,0.043711246
SMR,1.428075186
PER,0.24623258
VUT,0.056845636
COG,0.000108207
ETH,0.001703448
COM,0
COL,0.330017773
GGY,1.62601626
MDG,0.003695196
ANT,0.264737962
MDV,0.22693009
SRB,0
LTU,0.277421291
RWA,0.000883372
ZMB,0.009069176
POL,1.295200255
JEY,1.138329842
MDA,0.004643901
AUS,3.27524987
AUT,6.909162353
PLW,0
ALB,0.032196828
MMR,0
GNQ,0
WSM,0
UKR,0.098580381
GNB,0
TON,0.163793456
CAN,6.76023965
ERI,0
GRC,1.395360779
SOM,0.00150955
GAB,0
IRQ,0
IRL,2.199301832
ABW,2.768382663
SYR,0
NZL,8.041899368
NCL,0.252983946
ARE,0.375393534
ARG,0.141954704
SDN,0
SSD,0
BHR,0.843254219
ARM,0.094572902
PNG,0.002067023
LIE,0
EGY,0.061466899
NAM,0.009032145
SVK,0.783290109
GHA,0.005648763
BOL,0.196081174
FSM,0.278037795
JOR,0.044938549
LBR,0
LBY,0
MYS,0.852044466
PRI,0.268160428
CPV,0
PRT,2.98087767
KHM,0
PRY,0.020359612
SAU,0.026732651
LBN,0.140166939
SVN,5.072272271
BFA,0.000960519
CHE,4.549656748
MRT,0
HRV,0.858982368
CHL,0.68347561
CHN,0.013081692
JAM,0.591145842
URY,1.847472089
NIC,0.084093291
KAZ,0.031824512
PYF,0.090971944
NGA,0.00883298
PSE,0
COD,0.000108207
DEU,3.054805234
LKA,0.054464499
MWI,0
CIV,0.00840978
UGA,0.004625948
TKM,0
NLD,9.649069145
BMU,16.20246602
ROU,0.221622649
MNG,0.018160749
MAC,0.727273598
AFG,0
BDI,0.000803592
LVA,0.812717072
RUS,0.26975293
HTI,0.007484253
STP,0
BTN,0
CZE,1.940378193
ATG,2.858449577
MUS,0.183769158
DMA,1.165518146
LUX,5.551653306
ISR,2.1683676
IDN,0.056623989
SUR,0.226306297
ISL,14.80647932
NER,0.001039305
ECU,0.086161276
HKG,4.748838672
SEN,0.011238219
TLS,0
FRA,2.584033979
GMB,0.03550736
FRO,2.318786811
GTM,0.019534871
DNK,5.714987841
ZWE,0.016790484
CUB,0.031949001
KEN,0.008839115
TUR,0.192724936
OMN,0
TUV,0
ITA,1.023289903
BRN,3.303349927
TUN,0.027615372
BRB,0.389464214
BRA,0.450789179
USA,16.41935296
SWE,9.04359976
AZE,0.006354585
LAO,0
SWZ,0.050399009
VEN,0.24826058
CYP,0.673343541
BIH,0.015125563
CAF,0.005849503
SGP,8.34995903
IRN,0.01582608
UZB,0.004285074
KWT,0.855662317
TGO,0.010929139
CYM,0
EST,3.525111129
ESP,1.331847404
SLV,0.086389581
MLI,0.002055228
MLT,1.051527475
SLE,0.002506116
BHS,1.746950698
SLB,0.268683585
JPN,4.372981968
KGZ,0
DZA,0.001738533
NRU,0
