country,percent
AGO,0.270376746
QAT,10.22612893
BGD,0.139920289
BGR,9.08
PAK,2.577426737
PAN,8.518077815
VNM,1.854999236
KOR,59.4
PRK,59.4
BWA,3.385922351
TZA,0.222484414
KNA,21.15238176
GIB,23.67023975
DJI,0.486971705
GIN,0.402022749
FIN,62.43
THA,7.531250335
SYC,14.30417083
NPL,0.31295606
MAR,2.373253192
YEM,0.518796032
PHL,4.332275746
ZAF,6.710322437
KIR,2.5
MNE,0
VIR,27.49443238
BEN,0.702945595
GUF,13.92424099
BEL,46.33
GUM,31.19229426
GBR,56.48
GUY,0
CRI,19.89485113
CMR,0.360871584
LSO,1.083943137
HUN,16.67
BLZ,5.684251214
TTO,21.99867548
TCD,0.166069665
GEO,1.58787563
MHL,2.335444575
DOM,6.823725733
BLR,8.950971315
GRD,14.75884055
GRL,44.15478903
AND,11.26046872
MOZ,0.259612611
MKD,17.33
VCT,5.54959488
TJK,0.055462827
MEX,11.9
LCA,14.64183577
IND,1.537875582
NOR,72.84
FJI,6.1526497
HND,2.597402597
SMR,50.83483994
PER,8.96694917
VUT,3.510038711
COG,0.092790702
ETH,0.072402262
COM,0.554869675
COL,4.6
GGY,53.57142857
MDG,0.339720155
ANT,0
MDV,5.347765169
SRB,0
LTU,17.69
RWA,0.292784719
ZMB,0.477750907
POL,21.15
JEY,19.40639269
MDA,3.787242799
AUS,0
AUT,36.56
PLW,20.24393947
ALB,0.390081273
MMR,0.000426494
GNQ,0.321197997
WSM,2.244832676
UKR,1.873885116
GNB,1.022993234
TON,2.907297316
CAN,61.59329927
ERI,0.227090138
GRC,14.67
SOM,0.115614213
GAB,1.939530106
IRQ,0.5
IRL,25.85
ABW,18.8
SYR,2.093101019
NZL,59.08075328
NCL,22.38979742
ARE,28.31648531
ARG,10.88212438
SDN,0.439477639
SSD,0.439477639
BHR,18.05072089
ARM,1.960405046
PNG,1.321656935
LIE,59.47071067
EGY,2.719999715
NAM,2.633699769
SVK,40.14
GHA,0.830284034
BOL,3.117192947
FSM,5.570099705
JOR,6.025532412
LBR,0.032713307
LBY,2.244418222
MYS,32.33820434
PRI,17.54764757
CPV,3.518757175
PRT,19.37
KHM,0.226983238
PRY,1.794969598
SAU,6.38470502
LBN,7
SVN,27.83888542
BFA,0.200992598
CHE,61.4
MRT,0.363229415
HRV,17.76
CHL,22.1
CHN,4.595704331
JAM,6.1
URY,11.4194702
NIC,1.714729584
KAZ,1.674770995
PYF,8.200216486
NGA,0.320461976
PSE,3.100092235
COD,0.092790702
DEU,48.82
LKA,1.050422706
MWI,0.215094727
CIV,0.497929361
UGA,0.384093505
TKM,0.302132016
NLD,61.29
BMU,52.03159737
ROU,6.58
MNG,2.039572603
MAC,25.17188016
AFG,0.004561395
BDI,0.118228412
LVA,21.94
RUS,4.128271818
HTI,0.893432988
STP,7.580665169
BTN,1.675802584
CZE,23.93
ATG,12.5
MUS,10.25262467
DMA,18.42489277
LUX,39.84
ISR,17.76459906
IDN,2.134135733
SUR,4.161568745
ISL,79.12
NER,0.127152469
ECU,4.260796915
HKG,43.08238303
SEN,1.006454537
TLS,0
FRA,30.18
GMB,1.796779883
FRO,53.29922183
GTM,3.39174627
DNK,64.25
ZWE,3.994356135
CUB,3.770585038
KEN,1.207773885
TUR,11.38
OMN,6.873396039
TUV,0
ITA,28.04
BRN,15.32987986
TUN,5.252887295
BRB,27.83632242
BRA,9.149425086
USA,58.78540388
SWE,70.57
AZE,4.999713678
LAO,0.267899241
SWZ,1.816203807
VEN,4.910446327
CYP,28.32
BIH,2.648267914
CAF,0.128537117
SGP,47
IRN,4.626175115
UZB,1.081939742
KWT,10.24896793
TGO,1
CYM,0
EST,41.52
ESP,20.39
SLV,1.9
MLI,0.227045578
MLT,28.92
SLE,0.176198957
BHS,18
SLB,0.501919843
JPN,46.59420112
KGZ,2.99926518
DZA,1.59164126
NRU,0
