country,percent
AGO,0
QAT,0
BGD,0
BGR,0.019526669
PAK,0
PAN,0.007636899
VNM,0
KOR,0.311359364
PRK,0.311359364
BWA,0
TZA,0
KNA,0
GIB,0
DJI,0
GIN,0.000138318
FIN,4.915098554
THA,0.038614321
SYC,0
NPL,0
MAR,0
YEM,0
PHL,0.005844253
ZAF,0.246905533
KIR,0
MNE,0
VIR,0.940645283
BEN,0
GUF,0
BEL,0.69599469
GUM,0.34845391
GBR,1.036609166
GUY,0
CRI,0.279912479
CMR,0
LSO,0
HUN,0.483580975
BLZ,0
TTO,0
TCD,0
GEO,0
MHL,0
DOM,0
BLR,0.000485951
GRD,0
GRL,0.064712121
AND,0
MOZ,0
MKD,0
VCT,0
TJK,0
MEX,0.043339167
LCA,0
IND,0.001069562
NOR,4.152450292
FJI,0.007907399
HND,0
SMR,0
PER,0.008504578
VUT,0
COG,0
ETH,0
COM,0
COL,0.107173945
GGY,0
MDG,0
ANT,0
MDV,0
SRB,0
LTU,0
RWA,0
ZMB,0.006776105
POL,0.389098144
JEY,0
MDA,0.000825391
AUS,2.232101254
AUT,1.393422968
PLW,0
ALB,0
MMR,0
GNQ,0
WSM,0
UKR,0.013641246
GNB,0
TON,0
CAN,2.378693853
ERI,0
GRC,0.378174312
SOM,0
GAB,0
IRQ,0
IRL,0.558377222
ABW,0
SYR,0
NZL,3.168718848
NCL,0
ARE,0
ARG,0.043705951
SDN,0
SSD,0
BHR,0
ARM,0.009117014
PNG,0
LIE,0
EGY,0.00638327
NAM,0
SVK,0.318509704
GHA,0
BOL,0
FSM,0
JOR,0
LBR,0
LBY,0
MYS,0.099607417
PRI,0.027254662
CPV,0
PRT,0.718905754
KHM,0
PRY,0
SAU,0
LBN,0
SVN,1.071570172
BFA,0
CHE,2.720004329
MRT,0
HRV,0.268318997
CHL,0.141084507
CHN,0.001168115
JAM,0.036817104
URY,0.062474386
NIC,0.013166228
KAZ,0.000521079
PYF,0
NGA,0
PSE,0
COD,0
DEU,0.922541043
LKA,0.002765448
MWI,0
CIV,0
UGA,0
TKM,0
NLD,3.257308831
BMU,0
ROU,0.026300162
MNG,0
MAC,0.036993376
AFG,0
BDI,0
LVA,0
RUS,0.053817493
HTI,0
STP,0
BTN,0
CZE,1.259217838
ATG,0
MUS,0
DMA,0
LUX,0.496486119
ISR,0.57696646
IDN,0.001059744
SUR,0
ISL,6.794811784
NER,0
ECU,0.034833586
HKG,2.784198266
SEN,0
TLS,0
FRA,0.899867425
GMB,0
FRO,0
GTM,0
DNK,1.34430775
ZWE,0.00173928
CUB,0
KEN,0
TUR,0.049869182
OMN,0
TUV,0
ITA,0.192304619
BRN,0
TUN,0.007379544
BRB,0
BRA,0.037672709
USA,4.862780635
SWE,3.412810096
AZE,0.001431415
LAO,0
SWZ,0
VEN,0.055486978
CYP,0.111034621
BIH,0
CAF,0
SGP,1.185203797
IRN,0.000408332
UZB,0
KWT,0.147162703
TGO,0
CYM,0
EST,1.159750913
ESP,0.280069738
SLV,0
MLI,0
MLT,0
SLE,0
BHS,0
SLB,0
JPN,0.799684291
KGZ,0
DZA,0.000360674
NRU,0
