country,percent
AGO,14.776
QAT,86.2
BGD,5
BGR,51
PAK,9
PAN,42.7
VNM,35.07
KOR,83.8
PRK,83.8
BWA,7
TZA,12
KNA,0
GIB,65
DJI,7
GIN,1.3
FIN,89.37
THA,23.7
SYC,43.16400446
NPL,9
MAR,51
YEM,14.905
PHL,29
ZAF,21
KIR,10
MNE,40
VIR,0
BEN,3.5
GUF,0
BEL,78
GUM,0
GBR,82
GUY,32
CRI,42.12
CMR,5
LSO,4.2248
HUN,59
BLZ,0
TTO,55.2
TCD,1.9
GEO,36.56
MHL,0
DOM,35.5
BLR,39.6
GRD,0
GRL,64
AND,81
MOZ,4.3
MKD,56.7
VCT,43.01
TJK,13.03
MEX,36.15
LCA,42
IND,10.07
NOR,93.97
FJI,28
HND,15.9
SMR,49.6
PER,36.5
VUT,0
COG,1.2
ETH,1.1
COM,5.5
COL,40.4
GGY,83.632
MDG,1.9
ANT,0
MDV,34
SRB,42.2
LTU,65.05
RWA,7
ZMB,11.5
POL,64.88
JEY,36
MDA,38
AUS,79
AUT,79.8
PLW,0
ALB,49
MMR,0.98
GNQ,0
WSM,0
UKR,30.6
GNB,2.672
TON,25
CAN,83
ERI,6.2
GRC,53
SOM,1.25
GAB,8
IRQ,5
IRL,76.82
ABW,57.06835805
SYR,22.5
NZL,86
NCL,50
ARE,70
ARG,47.704
SDN,19
SSD,19
BHR,77
ARM,0
PNG,2
LIE,85
EGY,35.62
NAM,12
SVK,74.44
GHA,14.11
BOL,30
FSM,0
JOR,34.9
LBR,3
LBY,16.9981
MYS,61
PRI,48
CPV,32
PRT,55.3
KHM,3.1
PRY,23.9
SAU,47.5
LBN,52
SVN,72
BFA,3
CHE,85.2
MRT,4.5
HRV,70.71
CHL,53.8938
CHN,38.3
JAM,31.5
URY,51.4
NIC,10.6
KAZ,45
PYF,49
NGA,28.43
PSE,55
COD,1.2
DEU,83
LKA,15
MWI,3.33
CIV,2.2
UGA,13.01354333
TKM,5
NLD,92.3
BMU,88.336
ROU,44.02
MNG,20
MAC,58
AFG,5
BDI,1.11
LVA,71.68
RUS,49
HTI,0
STP,20.1612
BTN,21
CZE,72.97
ATG,82
MUS,34.95
DMA,51.3135
LUX,90.89
ISR,70
IDN,18
SUR,32
ISL,95.02
NER,1.3
ECU,31.4
HKG,74.5
SEN,17.5
TLS,0.9
FRA,79.58
GMB,10.8703
FRO,80.7321728
GTM,11.7274
DNK,90
ZWE,15.7
CUB,23.23
KEN,28
TUR,42.1
OMN,68
TUV,30
ITA,56.8
BRN,56
TUN,39.1
BRB,71.7657
BRA,45
USA,77.863021
SWE,91
AZE,50
LAO,9
SWZ,18.13
VEN,40.22
CYP,57.68
BIH,60
CAF,2.2
SGP,75
IRN,21
UZB,30.2
KWT,74.2
TGO,3.5
CYM,69.46594499
EST,76.5
ESP,67.6
SLV,17.68859598
MLI,2
MLT,69.22
SLE,0
BHS,65
SLB,6
JPN,79.53
KGZ,20
DZA,14
NRU,0
