country,percent
AGO,0.005673746
QAT,3.083749186
BGD,0.000751046
BGR,1.219813132
PAK,0.027549238
PAN,0.539065541
VNM,0.003981962
KOR,3.600801564
PRK,3.600801564
BWA,0.30774685
TZA,0.007900283
KNA,2.258559942
GIB,2.662907268
DJI,0.082941498
GIN,0.003803109
FIN,19.4586828
THA,0.360522185
SYC,1.28295593
NPL,0.021998858
MAR,0.021635203
YEM,0.015025295
PHL,0.136912963
ZAF,1.632093791
KIR,0
MNE,0
VIR,6.948368986
BEN,0.024648796
GUF,0.67481392
BEL,4.93808091
GUM,2.344571647
GBR,7.385398957
GUY,0.131828033
CRI,1.640221288
CMR,0.006768744
LSO,0.005584433
HUN,1.942449872
BLZ,1.288582302
TTO,1.173174658
TCD,0.000658168
GEO,0.060930333
MHL,0
DOM,0.142687565
BLR,0.049020891
GRD,0.990883868
GRL,7.954504682
AND,3.050175385
MOZ,0.011842611
MKD,0.503985009
VCT,0.926371957
TJK,0
MEX,0.62731154
LCA,0.992168483
IND,0.070767849
NOR,20.41788144
FJI,0.223454842
HND,0.170996468
SMR,1.41854848
PER,0.403429701
VUT,0.139505815
COG,0.000211213
ETH,0.00496672
COM,0
COL,0.550521023
GGY,3.387096774
MDG,0.014333647
ANT,0
MDV,0.309444238
SRB,0
LTU,0.978422157
RWA,0.001625791
ZMB,0.009329658
POL,2.073465474
JEY,3.347093607
MDA,0.028128808
AUS,16.36935838
AUT,9.533974317
PLW,0
ALB,0.048593919
MMR,0
GNQ,0.041462292
WSM,0.174571863
UKR,0.198821885
GNB,0.016389063
TON,0.510866122
CAN,15.07235736
ERI,0.009017718
GRC,1.849634688
SOM,0.002948713
GAB,0.047999009
IRQ,0
IRL,4.08825507
ABW,0
SYR,0.032607814
NZL,14.6015244
NCL,0.989334969
ARE,3.295592694
ARG,0.280339882
SDN,0.001231819
SSD,0.001231819
BHR,1.646299202
ARM,0.111650935
PNG,0.100588321
LIE,0
EGY,0.090480245
NAM,0.058750679
SVK,1.173381014
GHA,0.027537542
BOL,0.447839036
FSM,0.570676845
JOR,0.599341106
LBR,0.004489443
LBY,0
MYS,2.307393234
PRI,1.331822159
CPV,0.24096792
PRT,4.953001955
KHM,0.005844911
PRY,0.099576719
SAU,0.052099031
LBN,1.241079739
SVN,7.591923004
BFA,0.018686353
CHE,15.1
MRT,0.004172527
HRV,1.729609312
CHL,1.057092496
CHN,0.032394861
JAM,0.797797441
URY,3.363239668
NIC,0.206216818
KAZ,0.064596754
PYF,0.21438525
NGA,0.017237401
PSE,0
COD,0.000211213
DEU,6.711087477
LKA,0.162464548
MWI,0.004668518
CIV,0.018828361
UGA,0.010319341
TKM,0
NLD,14.0655114
BMU,24.18925674
ROU,0.445444676
MNG,0.112742554
MAC,2.364127672
AFG,0
BDI,0.007979439
LVA,2.053454712
RUS,0.472963763
HTI,0
STP,0
BTN,0
CZE,2.915698695
ATG,3.480536838
MUS,0.475629193
DMA,0
LUX,7.142704085
ISR,4.399405482
IDN,0.194910264
SUR,1.003086936
ISL,27.47886875
NER,0.002008766
ECU,0.110217959
HKG,10.51875705
SEN,0.027347441
TLS,0
FRA,4.255003872
GMB,0.051311347
FRO,4.601297566
GTM,0.095476021
DNK,11.38200494
ZWE,0.033080327
CUB,0.068220214
KEN,0.034406051
TUR,0.473695432
OMN,0.439792805
TUV,0
ITA,2.276737834
BRN,4.831057905
TUN,0.043656974
BRB,0.783428912
BRA,0.786079155
USA,21.61640097
SWE,23.72794756
AZE,0.025187933
LAO,0
SWZ,0.088545986
VEN,0.390959318
CYP,4.378272095
BIH,0.059425563
CAF,0.014270881
SGP,13.47162042
IRN,0.046756094
UZB,0.010536935
KWT,2.174535859
TGO,0.211139465
CYM,0
EST,5.706276548
ESP,2.803319625
SLV,0.256960679
MLI,0.010085919
MLT,3.920605132
SLE,0.004987835
BHS,1.362953903
SLB,0.391923246
JPN,9.16307714
KGZ,0
DZA,0.010268463
NRU,0
