country,percent
AGO,4.6
QAT,44.3
BGD,2.5
BGR,39.67
PAK,7
PAN,33.82
VNM,23.92
KOR,81
PRK,81
BWA,6.25
TZA,9
KNA,60
GIB,58
DJI,2.26
GIN,0.92
FIN,83.67
THA,18.2
SYC,40.44
NPL,1.73
MAR,33.1
YEM,6.89
PHL,6.22
ZAF,8.43
KIR,7
MNE,32.9
VIR,27.36177742
BEN,1.85
GUF,24.53441406
BEL,66
GUM,48.41870215
GBR,78.39
GUY,18.2
CRI,32.29
CMR,3.4
LSO,3.58
HUN,56
BLZ,11.31
TTO,34.8
TCD,1.19
GEO,10.01
MHL,3.626772173
DOM,20.82
BLR,23
GRD,23.18
GRL,62.82
AND,70.04
MOZ,1.56
MKD,46.04
VCT,21
TJK,8.78
MEX,21.71
LCA,32
IND,4.38
NOR,90.57
FJI,13
HND,9.6
SMR,54.52
PER,30.57
VUT,7.269119923
COG,0.44
ETH,0.45
COM,3
COL,25.6
GGY,0
MDG,1.65
ANT,0
MDV,23.2
SRB,35.6
LTU,55.22
RWA,4.5
ZMB,5.55
POL,53.13
JEY,0
MDA,23.39
AUS,71.67
AUT,72.87
PLW,0
ALB,23.86
MMR,0.22
GNQ,1.82
WSM,5.031615316
UKR,11
GNB,2.354888711
TON,8.110769944
CAN,76.7
ERI,4.06
GRC,38.2
SOM,1.142687372
GAB,6.21
IRQ,1
IRL,65.34
ABW,34.2
SYR,14
NZL,72.03
NCL,34.51
ARE,63
ARG,28.11262348
SDN,0
SSD,0
BHR,51.95
ARM,6.21
PNG,1.15
LIE,70
EGY,18.01
NAM,5.329003772
SVK,66.05
GHA,4.27
BOL,12.5
FSM,14.49
JOR,23
LBR,0.53
LBY,9
MYS,55.8
PRI,38
CPV,20
PRT,41.9
KHM,0.51
PRY,14.27
SAU,36
LBN,22.53
SVN,58
BFA,0.92
CHE,79.2
MRT,1.87
HRV,50.6
CHL,37.3
CHN,22.6
JAM,23.6
URY,39.3
NIC,5.3
KAZ,11
PYF,33.87
NGA,15.86
PSE,24.358
COD,0.44
DEU,78
LKA,5.8
MWI,0.7
CIV,1.9
UGA,7.9
TKM,1.75
NLD,87.42
BMU,82.3
ROU,32.42
MNG,12.49
MAC,49.24
AFG,1.84
BDI,0.81
LVA,63.41
RUS,26.83
HTI,7.6
STP,15.48
BTN,6.55
CZE,62.97
ATG,75.03
MUS,21.81
DMA,41.16
LUX,82.23
ISR,59.39
IDN,7.917479385
SUR,21.06
ISL,91
NER,0.7
ECU,18.8
HKG,66.7
SEN,10.6
TLS,0.163876816
FRA,70.68
GMB,6.88
FRO,75.57
GTM,8.3
DNK,85.02
ZWE,11.4
CUB,12.94
KEN,8.67
TUR,34.37
OMN,20
TUV,15
ITA,44.53
BRN,46
TUN,27.53
BRB,66.5
BRA,33.83
USA,74
SWE,90
AZE,17.08
LAO,3.55
SWZ,6.85
VEN,25.88
CYP,42.31
BIH,34.66
CAF,1
SGP,69
IRN,10.24
UZB,9.080114523
KWT,42
TGO,2.4
CYM,61
EST,70.58
ESP,59.6
SLV,10.08
MLI,1.57
MLT,50.08
SLE,0.25
BHS,31.54
SLB,3
JPN,75.4
KGZ,15.7
DZA,10.18
NRU,0
