"|","|__1990","|__1991","|__1992","|__1993","|__1994","|__1995","|__1996","|__1997","|__1998","|__1999","|__2000","|__2001","|__2002","|__2003","|__2004","|__2005","|__2006","|__2007","|__2008","|__2009","|__2010","|__2011"
"AGO","0","0","0","0","0","0","0.000775928524568031","0.00567374598866159","0.0184537240759316","0.0719640870420026","0.105045562462262","0.136013867429868","0.270376745595134","0.370682065225727","0.464814617985909","1.1433668265595","1.90764750723428","3.2","4.6","6","10","14.776"
"QAT","0","0","0","0","0","0.190209534823562","0.930185832525622","3.08374918598091","3.52002984985313","4.07072891489632","4.86367917875156","6.17026856093911","10.2261289281118","19.242336421002","20.701647851169","24.733493781051","28.9741127135829","37","44.3","53.1","81.6","86.2"
"BGD","0","0","0","0","0","0","0","0.00075104582943988","0.00368481262469867","0.0361704074704913","0.0710394230507683","0.129807973947512","0.13992028850905","0.163877665498048","0.199036333744363","0.24163732563671","1","1.8","2.5","3.1","3.7","5"
"BGR","0","0","0","0.002339042311872","0.0195266688142058","0.119665549149992","0.725251166566501","1.21981313194706","1.84496512093439","2.90815402505996","5.37092346908696","7.6122977487982","9.08","12.04","18.13","19.97","27.09","33.64","39.67","45","46.23","51"
"PAK","0","0","0","0","0","0.000122701855595622","0.00299173049043745","0.0275492379403411","0.0439477192535917","0.0553572378664737","0","1.31855077925626","2.57742673683831","5.04115812592502","6.16432098534156","6.33232909830782","6.5","6.8","7","7.5","8","9"
"PAN","0","0","0","0","0.00763689905241357","0.056123042662118","0.219998526009876","0.539065540666565","2.75064807135796","3.83686450851963","6.55479647729549","7.26839987788729","8.51807781515595","9.98742407723405","11.1408625409415","11.4840092783071","17.3495661695931","22.29","33.82","39.08","40.1","42.7"
"VNM","0","0","0","0","0","0","0.00013481327390908","0.00398196234767899","0.0130785429148256","0.12892666296862","0.254248275754934","1.26565123612317","1.85499923592581","3.78028081370641","7.64240852842363","12.7399292907031","17.2545617186662","20.7554447679753","23.92","26.55","30.65","35.07"
"KOR","0.0232650923969655","0.0461244347306385","0.0984043370590207","0.249946522805325","0.311359364299842","0.819686670067246","1.62423719177877","3.60080156399075","6.78181546774092","23.5521944496933","44.7","56.6","59.4","65.5","72.7","73.5","78.1","78.8","81","81.6","83.7","83.8"
"PRK","0.0232650923969655","0.0461244347306385","0.0984043370590207","0.249946522805325","0.311359364299842","0.819686670067246","1.62423719177877","3.60080156399075","6.78181546774092","23.5521944496933","44.7","56.6","59.4","65.5","72.7","73.5","78.1","78.8","81","81.6","83.7","83.8"
"BWA","0","0","0","0","0","0.0645210409566664","0.157454229629989","0.307746849903244","0.602400929143193","1.12239147360549","2.90266662177209","3.43088678702599","3.38592235064273","3.3451901740614","3.30488925316113","3.26255403605122","4.28993297515968","5.28","6.25","6.15","6","7"
"TZA","0","0","0","0","0","0","0.00162215453007416","0.00790028300709799","0.00924412514277551","0.0751308885261369","0.11719444010825","0.171300350668948","0.222484413923909","0.676962856510303","0.87757497099259","4.3","5.8","7.2","9","10","11","12"
"KNA","0","0","0","0","0","0","1.94556982306759","2.25855994218087","3.34381060656724","4.4004400440044","5.86281024037522","7.71472655580319","21.152381758186","22.9697842928439","24.7376775443732","34","49","52","60","69","76","0"
"GIB","0","0","0","0","0","0","0","2.66290726817043","4.18379432871177","5.93697829716194","19.1316381248919","21.171109436031","23.670239745714","28.3257797920554","32.8860826098395","39.0701308849385","45.29864751181","51.61","58","65.07","65","65"
"DJI","0","0","0","0","0","0.0160308304932045","0.0311662407280434","0.0829414975916805","0.0946960039743184","0.10576190879093","0.194500528399956","0.343526262964202","0.48697170451894","0.625940229399888","0.781317175068661","0.953611449300569","1.27004115919322","1.62","2.26","4","6.5","7"
"GIN","0","0","0","0","0.000138318459718829","0.000668589440753014","0.00194894188047425","0.00380310850877073","0.00620336850353784","0.0608089191603796","0.0954249236063846","0.175541868491054","0.402022748744397","0.450960370842751","0.508819332302937","0.542254180996637","0.637492122987955","0.780025279059244","0.92","0.94","1","1.3"
"FIN","0.401087669542265","1.39743933216774","1.88687977020585","2.56846134939847","4.91509855362412","13.900303888052","16.7800752605887","19.4586827950608","25.4525249254189","32.2950922889897","37.2484617371121","43.1053633522263","62.43","69.22","72.39","74.48","79.66","80.78","83.67","82.49","86.89","89.37"
"THA","0","0.0000522334282658481","0.000343724969840282","0.0135809657197242","0.0386143207353161","0.0748253377083653","0.115472136284834","0.360522184921104","1.09121898525592","2.42624243224657","3.68904127944164","5.55632612097332","7.53125033488567","9.29902723805965","10.6773033237281","15.0260043588909","17.1607147169285","20.03","18.2","20.1","22.4","23.7"
"SYC","0","0","0","0","0","0","0.651474286309919","1.28295593046379","2.52617751449394","6.22905480322416","7.39562918315276","11.0151029300174","14.3041708309972","14.5925043169492","24.2721392249906","25.4132681462836","34.95197117065","38.38","40.44","0","41","43.16400446"
"NPL","0","0","0","0","0","0.000924877560084208","0.00451047275392552","0.0219988575553294","0.0643935956362092","0.146668869214028","0.204651683653029","0.240015303375743","0.312956060108532","0.382810917017044","0.449843651215974","0.82655126590551","1.14138916388191","1.41","1.73","1.97","7.93","9"
"MAR","0","0","0","0","0","0.00371049184239092","0.00567544423607259","0.0216352030716219","0.142300767186126","0.175595344602176","0.693791244805455","1.37143810096418","2.37325319241544","3.35336668122363","11.6079347729582","15.0844445240204","19.7711915653115","21.5","33.1","41.3","49","51"
